음 식 명,중량(g),에너지(kcal),탄수화물(g),당류(g),지방(g),단백질(g),칼슘(mg),인(mg),나트륨(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g),
허니 레몬티?(ice)L,454,141.1,0,31.6,0,0.6,0,0,12.2,0,0,0,0,0,0,공차
허니 레몬티?(hot)L,397,164.6,0,40,0,0.5,0,0,8.4,0,0,0,0,0,0,공차
허니 레몬티?(ice)J,624,194,0,43.4,0,0.8,0,0,16.8,0,0,0,0,0,0,공차
허니 레몬티?(hot)J,454,188.3,0,45.8,0,0.5,0,0,9.6,0,0,0,0,0,0,공차
허니 자몽티 (ice)L,454,161.5,0,37.8,0,1.4,0,0,2.3,0,0,0,0,0,0,공차
허니 자몽티?(hot)L,397,187.7,0,42.6,0,0.8,0,0,4.4,0,0,0,0,0,0,공차
허니 자몽티 (ice)J,624,222,0,51.9,0,1.9,0,0,3.2,0,0,0,0,0,0,공차
허니 자몽티?(hot)J,454,214.7,0,48.8,0,0.9,0,0,5,0,0,0,0,0,0,공차
망고 주스L,454,142.2,0,54.4,0,0,0,0,22.5,0,0,0,0,0,0,공차
망고 주스J,624,195.9,0,75,0,0,0,0,31,0,0,0,0,0,0,공차
망고 요구르트L,454,178.6,0,73.8,0,0.5,0,0,27.4,0,0,0,0,0,0,공차
망고 요구르트J,624,246.1,0,101.6,0,0.6,0,0,37.8,0,0,0,0,0,0,공차
레몬 요구르트L,454,226.8,0,53.5,0,0.9,0,0,16.6,0,0,0,0,0,0,공차
레몬 요구르트J,624,312.4,0,73.7,0,1.2,0,0,22.9,0,0,0,0,0,0,공차
망고 스무디 (ice)L,454,294.3,0,55.6,0,1.26,0,0,61.4,0,0,0,0,0,0,공차
초코 쿠앤크 스무디?(ice)L,454,412.2,0,53.1,0,5.4,0,0,125.5,0,0,0,0,0,0,공차
밀크 쿠앤크 스무디 (ice)L,454,391.9,0,50.8,0,2.3,0,0,137.2,0,0,0,0,0,0,공차
청포도 스무디 (ice)L,454,281.6,0,61.5,0,0.2,0,0,5.6,0,0,0,0,0,0,공차
치즈폼 딥초코 스무디(ice)L,454,430.4,0,27.6,0,3.3,0,0,181.1,0,0,0,0,0,0,공차
블랙 밀크티 크러쉬L,454,344.4,0,29.4,0,1.8,0,0,445.7,0,0,0,0,0,0,공차
커피 밀크티 크러쉬+펄 (ice)L,454,361.2,0,27.9,0,1.5,0,0,53.9,0,0,0,0,0,0,공차
커피 밀크티 크러쉬+밀크폼 (ice)L,454,401.8,0,26.8,0,2.2,0,0,197.1,0,0,0,0,0,0,공차
