음 식 명,중량(g),에너지(kcal),탄수화물(g),당류(g),지방(g),단백질(g),칼슘(mg),인(mg),나트륨(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g),
그린티라떼 ICED,354,198,0,26,0,6,0,0,93,0,0,0,0,0,0,할리스커피
핫초코 HOT,354,404,0,45,0,10,0,0,166,0,0,0,0,0,0,할리스커피
핫초코 ICED,354,314,0,35,0,7,0,0,112,0,0,0,0,0,0,할리스커피
화이트초코 HOT,354,419,0,41,0,10,0,0,154,0,0,0,0,0,0,할리스커피
화이트초코 ICED,354,354,0,36,0,7,0,0,104,0,0,0,0,0,0,할리스커피
리얼 벨지안 초코 HOT,354,624,0,39,0,13,0,0,146,0,0,0,0,0,0,할리스커피
리얼 벨지안 초코 ICED,354,518,0,31,0,8,0,0,64,0,0,0,0,0,0,할리스커피
민트초코 HOT,354,320,0,44,0,11,0,0,213,0,0,0,0,0,0,할리스커피
민트초코 ICED,354,363,0,40,0,8,0,0,164,0,0,0,0,0,0,할리스커피
천도복숭아 주스,354,112,0,13,0,2,0,0,0,0,0,0,0,0,0,할리스커피
천도복숭아 스무디,354,197,0,46,0,1,0,0,6,0,0,0,0,0,0,할리스커피
망고오렌지 스무디,354,209,0,50,0,1,0,0,15,0,0,0,0,0,0,할리스커피
딸기 스무디,354,264,0,58,0,3,0,0,48,0,0,0,0,0,0,할리스커피
오렌지파인착즙스무디,354,187,0,19,0,2,0,0,25,0,0,0,0,0,0,할리스커피
비트사과착즙스무디,354,186,0,19,0,3,0,0,43,0,0,0,0,0,0,할리스커피
청포도케일착즙스무디,354,209,0,27,0,2,0,0,30,0,0,0,0,0,0,할리스커피
오렌지파인착즙주스,354,107,0,19,0,1,0,0,24,0,0,0,0,0,0,할리스커피
비트사과착즙주스,354,106,0,19,0,2,0,0,42,0,0,0,0,0,0,할리스커피
청포도케일착즙주스,354,129,0,27,0,1,0,0,29,0,0,0,0,0,0,할리스커피
블루베리 요거트 할리치노,354,287,0,56,0,7,0,0,176,0,0,0,0,0,0,할리스커피
플레인 요거트 할리치노,354,302,0,58,0,8,0,0,210,0,0,0,0,0,0,할리스커피
밀크티 할리치노,354,316,0,52,0,2,0,0,76,0,0,0,0,0,0,할리스커피
그린티 할리치노,354,412,0,57,0,7,0,0,143,0,0,0,0,0,0,할리스커피
다크초코칩 할리치노,354,658,0,50,0,8,0,0,45,0,0,0,0,0,0,할리스커피
민트 초코 할리치노,354,511,0,46,0,8,0,0,194,0,0,0,0,0,0,할리스커피
딸기치즈케익 할리치노,354,432,0,39,0,7,0,0,171,0,0,0,0,0,0,할리스커피
콜드브루 모카 할리치노,354,407,0,57,0,6,0,0,193,0,0,0,0,0,0,할리스커피
콜드브루 할리치노,354,307,0,34,0,5,0,0,178,0,0,0,0,0,0,할리스커피
더블베리 스파클링,472,144,0,33,0,0,0,0,19,0,0,0,0,0,0,할리스커피
복숭아 자두 스파클링,472,153,0,38,0,0,0,0,5,0,0,0,0,0,0,할리스커피
자몽 파인 스파클링 new,472,208,0,46,0,0,0,0,18,0,0,0,0,0,0,할리스커피
청포도 스파클링,472,189,0,42,0,0,0,0,19,0,0,0,0,0,0,할리스커피
