음 식 명,중량(g),에너지(kcal),탄수화물(g),당류(g),지방(g),단백질(g),칼슘(mg),인(mg),나트륨(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g)
햄부침,100,244,11.3,1,17.1,11.3,33.46,188.07,715.66,177.64,15.93,0,1.05,72.11,0.1
호박부침개,100,129,10.1,3.6,8.1,3.9,28.14,75.85,174.33,194.17,17.77,0,0.46,52.48,0.1
호박전,150,208.104,16.096,2.847,13.09,6.478,47.993,125.237,276.953,307.848,28.94,0,0.64,92.525,0.064
화양적,150,272.647,21.347,1.209,14.77,13.582,210.624,206.183,797.031,202.259,20.74,0,1.09,123.25,0.095
가자미조림,300,297.98,21.5,10.5,7.1,37.1,228.75,445.33,1692.83,837.63,81.64,0,1.93,227.98,0.1
고추조림,100,111,13.4,7.1,4.9,3.3,45.91,69.27,779.1,290.95,30.15,0,0.45,7.09,0
동태조림,250,276,17.4,10.2,4.7,40.8,336.54,464.81,1391.69,767.51,87.87,0,1.77,218.45,0.2
돼지고기메추리알장조림,50,63.492,3.372,1.273,1.851,8.336,8.843,66.034,582.987,100.659,9.49,0,0.81,47.64,0.005
북어조림,100,181.86,17.143,8.203,3.331,20.826,154.902,207.26,765.946,269.647,37.2,0,0.75,99.629,0.049
소고기메추리알장조림,50,60.652,2.883,0.715,1.842,8.137,8.455,57.613,602.12,86.544,8.92,0,1.4,41.516,0.016
조기조림,300,384,12.8,4.5,18.8,41.1,337.82,462.52,1771.22,795.38,96.43,0,1.72,228.18,0.1
게살죽,800,564.83,107.346,0.171,7.095,17.898,105.131,191.731,1453.824,346.079,0,0,0,50.156,0.07
깨죽,800,515.348,79.305,3.589,15.944,13.656,401.682,279.052,1160.187,222.393,0,0.01,0,0,0.005
백합죽,700,455.28,84.7,0,5.6,16.5,115,207.04,996.8,297.15,69.66,0.01,2.95,32.1,0
소고기버섯죽,800,578.278,109.026,0.262,7.465,18.747,54.428,177.845,1261.804,417.187,0,0,0,26.08,0.142
어죽,800,552.06,100.8,9.8,7.5,20.4,190.44,305.38,2105.53,687.37,87.83,0,2.17,35.47,0
잣죽,700,874.482,155.275,2.362,19.629,19.179,32.846,272.663,878.813,306.59,88.91,0,2.92,0,0.237
참치죽,800,659.599,104.566,1.36,16.062,24.194,78.453,250.441,1342.403,569.86,55.72,0,2.46,39.963,0.058
고등어찌개,600,601.62,25.6,7.4,33.7,48.9,266.23,671.03,2584.06,1518.52,140.13,0,2.82,156.06,0.3
김치찌개,400,243.032,11.929,3.025,15.005,15.069,151.756,210.736,1962.142,639.691,0,0.01,0,25.178,0.03
꽁치찌개,300,355,12.2,5.9,23.3,24,219.92,350.58,1296.4,676.46,64.82,0,1.42,63.32,2.9
두부전골,500,315.16,17.1,3.5,16.1,25.6,411.5,435.96,1650.77,722.06,140.2,0,2.81,8.85,0
버섯찌개,400,167.56,15.4,4.4,5.2,14.7,70.75,222.48,1293.87,655.05,56.89,0,2.98,16.55,0.1
부대찌개,600,399.5,39.7,6.2,18.6,18.4,91.31,302.47,2321.9,704.06,69.62,0,2.36,52.54,0.1
새우젓두부찌개,300,166,7.2,1.7,8.1,16.2,226.15,248.2,1123.08,403.9,88.09,0,1.56,10.71,0
소곱창전골,600,529,29.2,2.3,27.3,41.6,148.95,423.89,1779.63,725.81,92.89,0,4.81,453.19,0.5
햄김치찌개,300,189,12.7,3.6,10.4,11.1,101.58,214.58,1583.05,546.7,55.48,0,1.16,29.12,0.1
호박찌개,300,95,12.2,5.8,2.6,5.6,82.63,112.18,1024.11,471.07,51.71,0,0.78,9.26,0
대구찜,500,376.42,24.7,5.7,7.9,51.7,423.93,674.62,1898.67,1193.87,126.25,0,2.34,263.32,0
도미찜,100,125.506,0.54,0,3.485,22.996,59.16,272.171,839.962,369.058,51.37,0,0.73,99.008,0.021
동태찜,500,394.32,25.8,5.7,9.7,50.9,369.06,624.98,1985.6,1190.22,134.41,0,2.6,284.22,0.1
돼지등갈비찜,450,961.04,57.4,24.1,49.2,72.1,161.28,526.97,2395.17,1113.23,96.79,0,8.32,199.57,0.3
돼지머리고기,200,650,3.5,0.1,52,42.4,26.1,217.72,333.64,220.72,29.3,0,4.82,171.1,0.4
매운갈비찜,300,517.44,23.7,10.7,19.7,61.3,63.61,419.65,1138.51,1084.63,70.47,0,16.92,163.29,0.5
문어숙회,80,66.914,0.73,0,0.505,14.862,11.919,104.182,208.33,78.912,30.44,0,1.87,140.113,0.001
민어찜,100,136.878,0,0,5.914,21.474,52.113,176.557,1089.435,262.31,55.97,0,0.65,97.768,0.035
병어찜,100,179.688,0.157,0,11.515,18.857,28.373,201.475,650.975,274.473,45.52,0,0.73,71.921,0.064
북어찜,150,235,18,6.4,5.7,28.1,171.31,274.49,900.98,385.83,51.37,0,1.06,153.1,0.1
붕어찜,1100,835.6,71.6,16.2,36.9,54.3,984.26,847.54,3952.03,2105.91,244.2,0,6.57,186.23,0.3
소갈비찜,250,494.599,13.138,4.317,26.956,49.86,47.93,214.663,753.635,352.251,33.19,0,11.96,141.483,1.067
순대 ,300,542.415,58.362,3.499,25.636,19.561,104.416,201.698,1019.194,488.578,0,0,0,19.216,0.123
아구찜,400,310.871,17.471,0.689,5.309,48.302,214.377,377.94,1406.204,586.426,82.01,0,2.76,389.134,0.033
아구찜,750,492.32,43.1,8.2,6.5,65.4,481.97,735.79,3425.72,1747.65,185.75,0,4.69,420.21,0
안동찜닭,1500,1364.21,139.5,66.8,38.8,114.2,518.67,1275.1,5462.32,3113.77,238.8,0,6.84,450.42,0.2
전어찜,100,278.218,0.597,0,22.97,17.275,617.719,476.802,447.401,285.462,52.74,0,1.94,97.877,0.13
조기찜,100,182.118,1.642,0,10.59,20.058,121.221,226.761,602.033,262.372,41.44,0,0.63,138.433,0.083
참꼬막,80,90.787,4.592,0,2.503,12.472,62.664,125.294,234.163,149.345,48.13,0,1.87,65.032,0.016
한방오리백숙,300,469.532,3.358,0.351,20.104,68.79,89.86,443.139,276.43,345.568,54.29,0,5.93,372.069,0.142
해물찜,500,400.08,35.4,5.5,9.8,42.6,566,585.88,2137.21,1126.41,188.82,0,4.85,419.16,0
홍어찜,250,202.669,1.221,1.221,1.034,47.12,643.022,620.44,644.958,514.7,71.16,0,1.53,235.123,0.008
갈낙탕,400,261.77,0.8,1.3,12.8,35.8,48.37,234.83,847.97,278.17,71.96,0,11.26,209.08,0.4
곰탕,300,183.25,18.1,0.5,3.7,19.4,15.65,136.37,716.36,209.91,33.61,0,4.94,50.41,0.1
광어매운탕,600,419.793,9.133,1.421,16.621,58.417,865.614,949.72,1799.022,1111.072,109.27,0,3.64,375.051,0.082
낙지탕,600,187.8,10.4,1.9,3.2,29.4,110.82,313.69,1704.69,642.18,110.42,0,5.79,292.42,0
대구매운탕,600,361.747,16.844,1.094,7.214,57.361,439.388,690.717,1983.9,988.316,100.29,0,2.88,516.745,0.032
대구지리탕,600,262.02,9.9,1.5,6.2,41.6,342.1,531.74,1476.25,853.62,95.17,0,2,283.08,0.1
메기매운탕,600,400,48.6,5.7,10.2,28.6,396.38,451.7,1859.96,1042.47,102.24,0,2.23,137.36,0.2
복지리탕,600,232.05,10.3,1.4,2.7,41.7,242.25,362.9,1349.98,612.47,71.97,0,6.21,209.78,0
소탕,150,86.369,1.898,0.029,5.35,7.657,82.536,115.204,353.591,157.78,39.88,0,0.79,0,0.009
아구탕,600,246.07,12.8,1.8,4.9,37.8,297.49,429.94,1863.34,877.53,102.94,0,2.69,318.93,0
어탕,150,85.87,1.817,0,3.09,12.699,79.374,209.311,485.081,163.277,46.63,0,1.57,52.565,0.013
연포탕,1000,541.644,20.191,0.228,9.03,94.902,551.187,830.719,2337.456,1033.979,242.48,0.01,17.96,1057.461,0.078
우럭매운탕,600,406.816,11.235,1.079,17.032,52.146,778.738,785.859,1773.882,995.885,103.8,0,3.53,362.772,0.084
육탕,150,87.633,0.351,0,3.954,12.661,26.278,73.654,356.942,180.733,15.7,0,2.72,43.786,0.176
전복탕,600,196.85,15.8,1.3,3,26.8,163.14,292.58,1774.4,652.38,119.6,0.01,3.16,291.38,0
조기매운탕,600,384.38,17.3,4.3,19.4,35.1,1132.66,837.14,2272.92,1027.7,137.08,0,2.41,274.17,0.1
짱뚱어탕,600,188.77,16.6,2.4,8.5,11.5,329.1,269.78,2050.9,532.54,74.21,0,1.65,22.22,0
추어탕,1000,316.72,26.8,0,13.2,22.7,560.37,499.44,2635.78,869.76,150.46,0,3.11,90.31,0
해물탕,600,267.81,16.6,0.8,4.7,39.8,492.95,552.25,2046.24,941.72,172.87,0,7.6,469.49,0
고구마맛탕,200,491,94.6,38.7,11,3.3,66.97,152.37,76.93,927.91,61.87,0,0.59,0,0
고구마튀김,100,252.964,33.802,7.715,11.874,2.723,24.904,83.205,148.41,328.462,19.69,0,0.24,20.835,0.053
고추튀김,100,202,14.6,2.3,12.6,7.6,42.84,106.55,249.15,196.54,20.88,0,0.77,35.91,0.1
닭튀김,300,903,48.8,1.5,49.7,65.2,39.8,748.08,1244.48,947.2,90.49,0,3.46,177.93,0.4
등심돈가스,200,623.828,38.489,3.66,37.545,32.992,35.347,345.66,574.078,497.42,45.42,0,2.49,98.162,0.263
모래집튀김,150,468.37,29.1,1.8,26.6,28.1,35.66,306.08,322.44,404.04,33.09,0,4.2,251.91,0.2
미꾸라지튀김,100,387.487,28.855,0.304,25.391,10.887,536.58,437.922,324.467,173.346,29.5,0,1.35,50.146,0.152
생선까스,200,653.441,46.56,1.958,41.096,24.334,46.636,339.939,788.623,328.001,46.96,0,1.03,72.723,0.248
안심돈가스,200,651.755,34.253,2.772,42.402,33.281,31.598,367.215,551.554,515.312,48.84,0,2.84,105.474,0.248
양념치킨,200,552,42.3,12.5,26.8,35.5,33.57,380.94,805.49,495.73,51.32,0,2.23,137.79,0.2
쥐포튀김,100,356.912,42.502,7.962,16.493,9.617,81.393,156.811,717.025,77.041,18.9,0,0.5,28.702,0.103
치즈돈가스,250,755.369,41.764,3.57,46.693,42.02,421.038,612.714,870.769,521.291,58.13,0,4.1,98.808,0.443
치킨까스,200,592.998,44.021,4.154,33.918,27.913,156.962,387.776,779.271,394.407,43.88,0,1.59,72.97,0.27
대구포,100,140.842,2.335,0,0.404,31.966,154.63,288.595,3875.954,386.537,78.92,0,0.65,107.147,0.004
북어포,20,66.463,0.317,0.221,0.389,15.423,118.096,186.945,128.994,224.893,25.12,0,0.49,85.025,0.001
매작과,30,123.861,19.833,4.927,3.946,2.254,10.043,22.986,29.832,32.001,7.12,0,0.16,10.025,0.03
산자,30,109.711,24.652,9.404,0.926,0.693,1.718,8.836,6.86,12.266,2.1,0,0.1,0,0
송화다식,30,110.827,22.192,7.996,1.345,2.489,41.602,47.435,4.044,109.392,20.28,0,0.37,0,0.002
약과,30,119.731,25.467,5.066,1.425,1.259,3.74,19.962,17.19,21.843,7.35,0,0.16,0,0.013
유과,30,127.091,22.269,7.244,3.85,0.842,17.464,18.673,6.843,10.421,7.19,0,0.14,0,0.012
깨송편,100,219,42.8,2,3.2,4.7,96.23,64.88,259.75,49.58,32.02,458.26,952.87,0,0
꿀떡,100,228,49.5,0.3,1.7,3.7,15.35,51.73,275.08,38.85,22.61,0.36,0.62,0,0
모듬찰떡,100,218,42.3,3,2.4,6.8,19.38,91,187.83,191.12,36.22,0.75,1.01,0,0
